Name,ID,Number,Club,Position,Nationality,Age,Date of Birth,Height,Weight,Avatar,Goals,Assists
Davy Pröpper,70,24,Brighton and Hove Albion,Midfielder,Netherlands,27,1991/09/02,185,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p66242.png,0,0
Yves Bissouma,71,8,Brighton and Hove Albion,Midfielder,Mali,22,1996/08/30,182,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p227127.png,0,0
Glenn Murray,72,17,Brighton and Hove Albion,Forward,England,35,1983/09/25,183,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p20529.png,0,0
José Izquierdo,73,19,Brighton and Hove Albion,Forward,Colombia,26,1992/07/07,171,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p167473.png,0,0
Jürgen Locadia,74,9,Brighton and Hove Albion,Forward,Netherlands,25,1993/11/07,185,87,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p106757.png,0,0
Florin Andone,75,10,Brighton and Hove Albion,Forward,Romania,25,1993/04/11,180,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p93284.png,0,0
Alireza Jahanbakhsh,76,16,Brighton and Hove Albion,Forward,Iran,25,1993/08/11,180,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p165210.png,0,0
Tom Heaton,77,1,Burnley,Goalkeeper,England,32,1986/04/15,188,85,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p21205.png,0,0
Anders Lindegaard,78,22,Burnley,Goalkeeper,Denmark,34,1984/04/13,193,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p39725.png,0,0
Nick Pope,79,29,Burnley,Goalkeeper,England,26,1992/04/19,191,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p98747.png,0,0
Adam Legzdins,80,30,Burnley,Goalkeeper,England,32,1986/11/28,190,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p28609.png,0,0
Joe Hart,81,20,Burnley,Goalkeeper,England,31,1987/04/19,196,91,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p15749.png,0,0
Matthew Lowton,82,2,Burnley,Defender,England,29,1989/06/09,180,78,https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0
Charlie Taylor,83,3,Burnley,Defender,England,25,1993/09/18,176,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p103914.png,0,0
James Tarkowski,84,5,Burnley,Defender,England,26,1992/11/19,185,81,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p17761.png,0,0
Ben Mee,85,6,Burnley,Defender,England,29,1989/09/21,180,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p51927.png,0,0
Stephen Ward,86,23,Burnley,Defender,Ireland,33,1985/08/20,184,82,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40616.png,0,0
