Charlie Daniels,35,11,2,Defender,England,32,1986-09-07,178,75,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p41320.png,0,0
Adam Smith,36,15,2,Defender,England,27,1991-04-29,180,78,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p54469.png,0,0
Tyrone Mings,37,26,2,Defender,England,25,1993-03-13,191,77,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p149484.png,0,0
Jack Simpson,38,25,2,Defender,England,22,1996-12-18,178,83,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p222434.png,0,0
Diego Rico,39,21,2,Defender,Spain,25,1993-02-23,183,76,https://platform-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/Photo-Missing.png,0,0
Dan Gosling,40,4,2,Midfielder,England,28,1990-02-01,183,79,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p40387.png,0,0
Andrew Surman,41,6,2,Midfielder,England,32,1986-08-20,178,73,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p15237.png,0,0
Marc Pugh,42,7,2,Midfielder,England,31,1987-04-02,180,72,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p20037.png,0,0
Lewis Cook,43,16,2,Midfielder,England,21,1997-02-03,175,71,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p155408.png,0,0
Junior Stanislas,44,19,2,Midfielder,England,29,1989-11-26,183,76,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p56872.png,0,0
Ryan Fraser,45,24,2,Midfielder,Scotland,24,1994-02-24,163,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p90105.png,0,0
Jordon Ibe,46,10,2,Midfielder,England,23,1995-12-08,176,81,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p103912.png,0,0
David Brooks,47,20,2,Midfielder,Wales,21,1997-07-08,173,62,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p111317.png,0,0
Jefferson Lerma,48,8,2,Midfielder,Colombia,24,1994-10-25,179,70,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p152551.png,0,0
Callum Wilson,49,13,2,Forward,England,26,1992-02-27,180,66,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p75115.png,0,0
Joshua King,50,17,2,Forward,Norway,26,1992-01-15,180,74,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p78007.png,0,0
Jermain Defoe,51,18,2,Forward,England,36,1982-10-07,171,65,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p7958.png,0,0
Lys Mousset,52,9,2,Forward,France,22,1996-02-08,184,80,https://premierleague-static-files.s3.amazonaws.com/premierleague/photos/players/250x250/p178304.png,0,0
